Date,Open,High,Low,Close,Adj Close,Volume
01-04-2020,171.699997,193.75,164.550003,182.050003,164.561417,535693554
01-05-2020,182.050003,198,157.100006,197.350006,178.391632,554395975
01-06-2020,201,209.399994,180.699997,194.649994,175.951004,764204539
01-07-2020,194.649994,208.5,191.5,194.149994,175.499023,604197678
01-08-2020,194,207.699997,190,191.100006,181.624146,567641852
01-09-2020,191.100006,193.25,166.149994,171.699997,163.186111,646294807
01-10-2020,174.5,175.199997,163.350006,165.25,157.055939,527572084
01-11-2020,166.800003,197.949997,164.449997,193.649994,184.047699,663128547
01-12-2020,195,218.600006,192.399994,209,198.636566,650964058
01-01-2021,209.899994,222,200.25,203.25,193.171677,771143214
01-02-2021,204,239.199997,201.800003,203.850006,193.741943,998527081
01-03-2021,205.449997,228.100006,201.600006,218.5,212.587646,841769655
01-04-2021,220,220.600006,200.550003,202.600006,197.117889,370956773
01-05-2021,201.199997,217.899994,199.100006,216.600006,210.739059,549122786
01-06-2021,218,219.399994,202.399994,202.699997,197.215164,569501634
01-07-2021,202.899994,215.350006,200.899994,204.949997,204.949997,417075433
01-08-2021,206.449997,217.149994,204.350006,211.300003,211.300003,355801278
01-09-2021,211,245.800003,209,236.149994,236.149994,706564938
01-10-2021,235.199997,265.299988,222.300003,223.199997,223.199997,624792081
01-11-2021,224.149994,245.25,220,221.149994,221.149994,394693365
01-12-2021,222,226.199997,217.5,217.899994,217.899994,55833648
